"State","prevalence","X95..Confidence.Interval","Quartile","outcome","age_group","year_pair","estimate","ci_lower","ci_upper","estimate_confidence_interval","ci_median"
"Alaska",34.9,"32.4 - 37.4","34.7 - 36.9","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.031592226,0.0221931855,0.0447895207,"2.219  -  4.479",3.349
"Alabama",41.2,"39.4 - 43.1","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0374187456,0.0269779884,0.0516855473,"2.698  -  5.169",3.933
"Arkansas",38,"35.9 - 40.0","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0392159123,0.0278132697,0.0550287058,"2.781  -  5.503",4.142
"Arizona",35.3,"33.9 - 36.8","34.7 - 36.9","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0286658355,0.0203753854,0.0401911547,"2.038  -  4.019",3.028
"California",33,"31.1 - 34.9","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0318356305,0.0253844889,0.0398591967,"2.538  -  3.986",3.262
"Colorado",29.3,"28.2 - 30.4","29.3 - 32.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0291664886,0.0214299573,0.0395830453,"2.143  -  3.958",3.051
"Connecticut",34.6,"32.9 - 36.3","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0273709263,0.0190055467,0.0392709671,"1.901  -  3.927",2.914
"District of Columbia",32.8,"30.7 - 35.0","29.3 - 32.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0322252642,0.0224266471,0.0461031737,"2.243  -  4.61",3.426
"Delaware",35.9,"33.7 - 38.2","34.7 - 36.9","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0320795797,0.022816741,0.0449299234,"2.282  -  4.493",3.387
"Florida",36.1,"34.0 - 38.2","34.7 - 36.9","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0251505234,0.0192449661,0.032807654,"1.924  -  3.281",2.603
"Georgia",38.2,"36.5 - 39.9","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0321744544,0.024077277,0.0428750764,"2.408  -  4.288",3.348
"Hawaii",41.9,"40.3 - 43.5","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0296365666,0.0205435944,0.0425792914,"2.054  -  4.258",3.156
"Iowa",33.8,"32.6 - 35.0","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0282284784,0.0197956277,0.0401066993,"1.98  -  4.011",2.995
"Idaho",31.5,"29.8 - 33.3","29.3 - 32.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0252870885,0.0176910481,0.0360250429,"1.769  -  3.603",2.686
"Illinois",33.5,"31.5 - 35.6","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0283508836,0.0211201391,0.0379611622,"2.112  -  3.796",2.954
"Indiana",37.9,"36.6 - 39.3","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0315476721,0.0231441151,0.0428686304,"2.314  -  4.287",3.301
"Kansas",34.5,"33.2 - 35.8","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0326784972,0.0243517463,0.0437248665,"2.435  -  4.372",3.404
"Kentucky",40.5,"38.5 - 42.6","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0323792921,0.0235300146,0.0444053018,"2.353  -  4.441",3.397
"Louisiana",38.4,"36.4 - 40.3","37.0 - 42.8","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0375288482,0.026896266,0.0521394703,"2.69  -  5.214",3.952
"Massachusetts",33.9,"32.3 - 35.5","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0318296148,0.0224037909,0.0450384129,"2.24  -  4.504",3.372
"Maryland",36.5,"35.3 - 37.7","34.7 - 36.9","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0356688431,0.0259342582,0.0488740274,"2.593  -  4.887",3.74
"Maine",33.1,"31.5 - 34.8","32.9 - 34.6","Pain Reliever Misuse in the Past Year","12 or Older","2021 (Preliminary)",0.0263450092,0.0176617534,0.039127277,"1.766  -  3.913",2.839
